section,date,ymd,paper,author,title,doc_id,nword,nsentence,self_reference,accountability_word_count,investigation_related,documents_reveal,investigation_duration,series_indicated,year
opn_columns_blogs,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Billy Maddalon - Contributing columnist, Charlotte Observer, The Charlotte Observer","A new year, and time moves ever quicker",85483,546,28,0,1,0,0,0,0,2019
op_ed,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Charles Gillespie, Special to the Observer, The Charlotte Observer","North Carolina should embrace sports gambling, or get left behind",85484,641,25,0,6,0,0,0,0,2019
local,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer","2019 begins with Charlotte pedestrian fatality; victim hit by 3 vehicles, police say",85485,373,12,0,3,0,0,0,0,2019
crime,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer","Two killed in separate New Years Day homicides in Charlotte, police say",85487,367,8,0,12,0,1,0,0,2019
local,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer","Happy New Year, Griffin! Charlotte’s first 2019 baby born at midnight",85488,176,5,0,2,0,0,0,0,2019
preps_blog,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",There’s a new No. 1 in the Observer’s girls basketball Sweet 16 poll,85489,234,11,0,4,0,0,0,0,2019
high_school,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",3 new teams land in a heavily shuffled boys Sweet 16 basketball poll,85490,369,14,0,5,0,0,0,0,2019
charlotte_hornets,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer",Charlotte Hornets to Hernangomez: ‘They want me to be Billy’ (only a better version),85491,820,44,0,6,0,0,0,0,2019
education,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Ann Doss Helms, The Charlotte Observer",CMS resolution for January was wanding students for guns. Here’s the latest on that.,85493,555,16,0,4,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Myah Ward, The Charlotte Observer",JCSU delays spring semester classes because of mold removal,85494,349,9,0,3,0,0,0,0,2019
carolina_panthers,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","These moments defined the Carolina Panthers in 2018. Some might tell the future, too.",85495,1635,53,0,26,0,0,0,0,2019
opinion,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Kathleen Purvis, The Charlotte Observer","Weighing in: What’s in a name? For Lake Wylie’s newest restaurant, I’m not sure",85496,711,37,0,6,0,0,0,0,2019
high_school,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Riding With Recruits: Northside Christian’s Jaden Seymour,85498,567,32,0,5,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer","‘Creature from hell’: Monster 13-foot gator crosses paths with SC woman, video shows",85499,358,18,0,1,0,0,0,0,2019
editorials,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","the Observer editorial board, The Charlotte Observer",The embarrassment that is Wells Fargo,85500,513,19,0,8,0,0,0,0,2019
scott_fowler,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Scott Fowler, The Charlotte Observer","The Kemba decision: Risks, rewards and how the Hornets have failed their all-star",85501,1059,51,0,14,0,0,0,0,2019
carolina_panthers,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","Luke Kuechly no surprise for All-Pro honors, but where did Panthers’ McCaffrey land?",85502,236,7,0,2,0,0,0,0,2019
op_ed,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","By, The Charlotte Observer",Vaping is an epidemic for teens,85503,546,18,0,3,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Joe Marusak, The Charlotte Observer",What would you do with $1 million lottery prize? This NC family wants new toilets,85504,365,9,0,1,0,0,0,0,2019
business,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",Lowe’s announces a major restructuring that involves adding and slashing jobs,85505,522,14,0,1,0,0,0,0,2019
charlotte_hornets,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer",Charlotte Hornets rookie Devonte Graham’s journey from runt to grinder to keeper,85506,895,42,0,16,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Joe Marusak, Cristina Bolling and Myah Ward, The Charlotte Observer",‘The baby’s in the house!’ 911 fire call recounts frantic neighbor’s cry for help,85507,623,29,0,2,0,0,0,0,2019
thats_racin,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Brendan Marks, The Charlotte Observer",Four New Year’s resolutions to keep NASCAR relevant (and alive) in 2019 and beyond,85508,1080,42,0,10,0,0,0,0,2019
banking,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Deon Roberts, The Charlotte Observer",The long-awaited Siskey Ponzi settlement faces an unexpected hurdle,85509,584,9,0,5,0,0,0,0,2019
north_carolina,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Charles Duncan, The Charlotte Observer","Winter means more whales, dolphins stranded on NC beaches. Here’s one story from January",85510,466,17,0,6,0,0,0,0,2019
preps_blog,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Steve Lyttle, The Charlotte Observer",Wrestling/Swimming Roundup: Piedmont wrestling earns sweep,85511,581,18,0,4,0,0,0,0,2019
politics_government,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jim Morrill, The Charlotte Observer",Mark Harris doesn’t expect a new election in the disputed 9th District race,85512,529,19,0,16,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer",Where do sharks give birth off East Coast? The answers may change your vacation plans,85513,513,17,0,3,0,0,0,0,2019
preps_blog,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","Observer-area boys, girls high school basketball standings 01.01.04",85514,1216,51,0,6,0,0,0,0,2019
college,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer",Charlotte 49ers add assistant coach who once directed nationally-ranked rushing attack,85515,268,7,0,5,0,0,0,0,2019
preps_blog,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","16 Observer-area players named AP All-State, including offensive, defensive POYs",85517,794,45,0,8,0,0,0,0,2019
college,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer","Davidson’s Kellan Grady recovered from injury, back in lineup for Atlantic 10 opener",85518,199,11,0,0,0,0,0,0,2019
panther_tracks,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","After assault charge, ex-Panther Frank Garcia loses WFNZ job, talks about what’s next",85520,349,13,0,7,0,0,0,0,2019
high_school,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Friday’s girls roundup: NFL Hall of Famer’s daughter has monster game in upset,85521,2380,103,0,19,0,0,0,0,2019
high_school,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Friday’s boys high school basketball capsules 01.04.19,85522,2268,102,0,12,0,0,0,0,2019
high_school,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","Friday’s top boys, girls prep basketball performers 01.04.19",85523,221,11,0,4,0,0,0,0,2019
high_school,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Friday’s roundup: hot Myers Park springs huge upset at No. 8 Butler,85524,779,36,0,7,0,0,0,0,2019
c5_people,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Alyssa Ruane, The Charlotte Observer",Chic places in Charlotte to host a bridal shower,85525,466,19,0,3,0,0,0,0,2019
c5_people,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Beth Booker, The Charlotte Observer","Moms Making It: Girl Tribe co-founders talk messy lives, expansion and the cease-and-desist letter from Taylor Swift",85526,1458,78,0,4,0,0,0,0,2019
c5_around_town,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jessica Swannie, The Charlotte Observer","Fitness classes that won’t have you saying ‘Thank u, next’",85527,956,48,0,1,0,0,0,0,2019
c5_worklife,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Daniel Hartis, The Charlotte Observer",Will Charlotte’s craft-beer bubble burst in 2019? Or will it simply shift shape?,85528,1355,50,0,9,0,0,0,0,2019
local,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer",Wintry mix in weekend forecast for North Carolina as high wind gusts move in today,85529,322,13,0,0,0,0,0,0,2019
business,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",More dollar-store drama as activist investor urges Dollar Tree to sell Family Dollar,85530,599,13,0,9,0,0,0,0,2019
preps_blog,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Steve Lyttle and Langston Wertz Jr., The Charlotte Observer",Saturday’s swimming/wrestling roundup: Hough wrestling edges Piedmont,85531,1257,28,0,10,0,0,0,0,2019
north_carolina,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Charles Duncan, The Charlotte Observer",‘Stop! I’ll shoot you’: 911 call and video give new details in NC police shooting,85532,512,26,0,6,0,0,0,0,2019
charlotte_hornets,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer","Hornets questions: On Devonte Graham’s minutes, Kemba the All-Star, waiving Nic Batum",85533,958,50,0,7,0,0,0,0,2019
high_school,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","Huge conference games, one matchup between state champs, highlight busy week",85534,1072,28,0,15,0,0,0,0,2019
op_ed,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Tim Sloan - Special to the Charlotte Observer, The Charlotte Observer",Wells Fargo CEO: We’re proud of our progress,85535,939,33,0,16,0,0,0,0,2019
high_school,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","2 teams, from same town, jump in Charlotte Observer boys basketball Sweet 16 poll",85536,222,8,0,5,0,0,0,0,2019
high_school,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Two new teams bolt into Charlotte Observer girls Sweet 16 basketball poll,85537,208,15,0,3,0,0,0,0,2019
preps_blog,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Charlotte Observer #BIG5 prep basketball players of the week,85538,177,8,0,2,0,0,0,0,2019
business,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",Longtime Charlotte economic development leader plans his next move,85539,285,7,0,8,0,0,0,0,2019
editorials,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","the Observer editorial board, The Charlotte Observer",Will Supreme Court end gerrymandering? Or protect it?,85541,500,22,0,14,0,0,0,0,2019
celebrities,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Jane Wester, The Charlotte Observer",Justin Timberlake just ate at Midwood Smokehouse. What did he order?,85542,279,5,0,5,0,0,0,0,2019
carolina_panthers,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer",What are the Carolina Panthers’ 2019 draft picks? Biggest needs?,85544,148,8,0,0,0,0,0,0,2019
politics_government,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Ely Portillo, The Charlotte Observer",Charlotte may allow more e-scooters but with tighter rules on riding them,85545,1026,31,0,12,0,0,0,0,2019
business,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Ely Portillo and Katherine Peralta, The Charlotte Observer","CIAA tournament will not return to Charlotte after 2020, source says",85546,437,13,0,5,0,0,0,0,2019
college,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer",Marcus West joins Charlotte 49ers staff as assistant head coach,85547,166,5,0,2,0,0,0,0,2019
football,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Streaming viewers for Monday’s Alabama-Clemson game again plagued with issues,85548,235,7,0,2,0,0,0,0,2019
taylor_batten,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Taylor Batten, Charlotte Observer Editorial Page Editor, The Charlotte Observer","Beyond the fight over the wall, the human cost mounts",85549,611,27,0,4,0,0,0,0,2019
c5_people,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","CharlotteFive Staff, The Charlotte Observer",Help us name Legion Brewing’s Sour Patch Kids beer and win tickets to Queen City Brewers Festival,85550,219,13,0,0,0,0,0,0,2019
c5_things_to_do,2019-01-07,20190107,"Charlotte Observer, The: Web Edition Articles (NC)","Jessica Swannie, The Charlotte Observer",7 spots to get girl boss gear in Charlotte,85551,589,26,0,2,0,0,0,0,2019
carolina_panthers,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","Greatest play in Panthers history? Remembering X-Clown, on the 15th anniversary.",85552,2306,157,0,10,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Michael Gordon, The Charlotte Observer","Charlotte area cop found missing teen, then raped and impregnated her. Now, family is suing.",85553,730,24,0,12,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Ames Alexander, The Charlotte Observer",‘Trapped in a box’: Sheriff shutters unit that kept teen inmates in solitary confinement,85554,1313,61,0,26,0,0,0,0,2019
north_carolina,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Charles Duncan, The Charlotte Observer","NC county fought for public prayer, and lost. Now it has to pay the ACLU $285k",85555,484,20,0,5,0,2,0,0,2019
business,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",New coffee bar and bottle shop to open in a renovated old warehouse near NoDa,85556,295,6,0,0,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer","Venomous Portuguese men-of-war invade NC beach. Even the dead ones sting, cops warn",85557,422,18,0,1,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Cristina Bolling, The Charlotte Observer",Hundreds gather to mourn two children and a mom who brought Guatemala home to Charlotte,85558,585,21,0,2,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Bruce Henderson, The Charlotte Observer","The $2 million home is one of Davidson’s grandest. Strangers claimed it, police say.",85559,456,10,0,10,0,3,0,0,2019
high_school,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Charlotte-area players dominate latest Phenom Hoops Class of 2019 basketball rankings,85560,376,12,0,5,0,0,0,0,2019
high_school,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Sons of well-known basketball dads bring ‘under-the-radar’ talent to Charlotte 49ers,85561,698,40,0,3,0,0,0,0,2019
college,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer",Clemson looms as Charlotte 49ers announce 2019 football schedule,85562,376,20,0,6,0,0,0,0,2019
banking,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Deon Roberts, The Charlotte Observer","How did NC lure Honeywell to Charlotte? It was all about the money, records show",85563,920,19,0,12,0,2,0,0,2019
business,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer",Charlotte’s tight housing market was tough for buyers last year. Here’s what 2019 holds.,85564,352,12,0,5,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Ames Alexander, The Charlotte Observer","Charlotte murderer is charged in second killing, this one inside prison",85565,214,8,0,6,0,0,0,0,2019
politics_government,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Jim Morrill, The Charlotte Observer","You’ll get your mail, but don’t plan to visit the Great Smokies during the shutdown",85566,278,15,0,1,0,0,0,0,2019
charlotte_hornets,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer",What it will take for Kemba Walker to be an All-Star starter in Charlotte,85567,235,9,0,3,0,0,0,0,2019
business,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",Bojangles’ moves one big step closer to having new owners,85568,387,6,0,3,0,0,0,0,2019
carolina_panthers,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","Panthers position analysis: Young receivers had big numbers, but specific needs remain",85569,1071,37,0,13,0,0,0,0,2019
local,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Tim Funk, The Charlotte Observer",Why hasn’t Charlotte Catholic diocese released list of priests accused of sex abuse?,85570,2184,86,0,64,1,0,0,0,2019
politics_government,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Jim Morrill and Michael Gordon, The Charlotte Observer",How the government shutdown is affecting thousands in North Carolina,85571,836,48,0,6,0,0,0,0,2019
carolina_panthers,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer",Source: Panthers locked in on defensive coordinator as other job searches unfold,85572,372,7,0,7,0,0,0,0,2019
living,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","ThÃ©oden Janes, The Charlotte Observer",He’s paid to help Hornets fans find their seats. So what’s with all these dance moves?,85573,1492,52,0,3,0,0,0,0,2019
college,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer",Charlotte 49ers’ rally against FIU falls short for 6th straight loss,85574,390,20,0,7,0,0,0,0,2019
preps_blog,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Observer-area high school basketball standings 01.10.18,85575,1138,51,0,6,0,0,0,0,2019
preps_blog,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Thursday’s Roundup: No. 1 Carmel Christian takes down NC power Greensboro Day,85576,1420,36,0,10,0,0,0,0,2019
preps_blog,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Steve Lyttle and Langston Wertz Jr., The Charlotte Observer",Wednesday’s Swim/Wrestle Roundup: Olympic wrestlers down Ardrey Kell,85577,911,25,0,6,0,0,0,0,2019
c5_things_to_do,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer",New CLT destinations include the tropics. But other sites are ‘definitely not sexy.’,85578,853,27,0,13,0,0,0,0,2019
c5_people,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Sallie Funderburk, The Charlotte Observer",Everything you need to know about the new Sabor opening Uptown on Monday—plus the 3 most-ordered menu items,85579,358,10,0,1,0,0,0,0,2019
c5_people,2019-01-10,20190110,"Charlotte Observer, The: Web Edition Articles (NC)","Jessica Bentley, The Charlotte Observer",How I survived Whole30 while still dining out (a bit) in Charlotte,85580,1004,35,0,8,0,0,0,0,2019
charlotte_hornets,2019-01-13,20190113,"Charlotte Observer, The: Web Edition Articles (NC)","Rob Gloster, The Charlotte Observer",Hornets lose third straight despite 31 points from Kemba Walker,85581,593,31,0,5,0,0,0,0,2019
crime,2019-01-13,20190113,"Charlotte Observer, The: Web Edition Articles (NC)","Jane Wester and Bruce Henderson, The Charlotte Observer",Police identify victim of Sunday shooting at Carolina Place Mall,85582,387,16,0,13,0,1,0,0,2019
charlotte_hornets,2019-01-13,20190113,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer","Hornets notes: Zeller’s absence, Walker’s big games, Parker’s Spurs homecoming",85583,740,29,0,3,0,0,0,0,2019
carolina_panthers,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","Panthers’ Tepper, Rivera, Hurney met to discuss team’s future, and it looks like this",85585,1324,73,0,15,0,0,0,0,2019
banking,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Deon Roberts, The Charlotte Observer",Bank of America posts record profit with totals not seen since before the recession,85586,544,15,0,18,0,0,0,0,2019
local,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer",School lunches shrink as one NC school district feels heat from government shutdown,85588,396,17,0,3,0,0,0,0,2019
education,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Ann Doss Helms, The Charlotte Observer",CMS immigrant enrollment is large and growing. That brings costs and benefits.,85589,1219,34,0,14,0,0,0,0,2019
business,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",A popular former Carolina Panther and his wife just bought a Charlotte media company,85591,331,10,0,2,0,0,0,0,2019
local,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer",The ‘most primitive’ of sharks caught on video prowling bottom of deep sea trench,85592,457,14,0,2,0,0,0,0,2019
development,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Danielle Chemtob, The Charlotte Observer",The Charlotte skyline is in line for another makeover as work starts on new bank tower,85594,462,17,0,5,0,0,0,0,2019
carolina_panthers,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Tom Sorensen, The Charlotte Observer",Tom Talks: Got a chance to attend an NFL playoff game? Here’s where I’d go.,85595,2449,132,0,25,0,0,0,0,2019
crime,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Jane Wester, The Charlotte Observer","Days after killing at Carolina Place Mall, no one has been charged, police say",85596,189,5,0,5,0,0,0,0,2019
letters_to_the_editor,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)",The Charlotte Observer,The wall is our best bet for national safety,85597,748,41,0,14,0,0,0,0,2019
op_ed,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","By Mike Lamach and Tom Nelson - Special to the Charlotte Observer, The Charlotte Observer",How NC can give more kids a head start,85598,534,16,0,5,0,0,0,0,2019
college,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer",5 games in 9 days: Charlotte 49ers say they have game plan for grueling schedule.,85599,561,20,0,9,0,0,0,0,2019
business,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Danielle Chemtob, The Charlotte Observer",Demolition planned soon for massive former Philip Morris manufacturing site,85600,538,17,0,14,0,0,0,0,2019
local,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Michael Gordon, Joe Marusak and Cristina Bolling, The Charlotte Observer","ICE agents ‘dragged’ man out of Mecklenburg courthouse Wednesday, witnesses say",85601,873,31,0,25,0,1,0,0,2019
charlotte_hornets,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer",Hornets fan asks: What’s an enticing trade offer for Kemba Walker? Here’s your answer.,85602,1156,53,0,14,0,0,0,0,2019
crime,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Jane Wester and Joe Marusak, The Charlotte Observer","Charlotte officer fatally shoots robbery suspect at shopping center, police say",85603,693,16,0,5,0,0,0,0,2019
c5_around_town,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Ely Portillo, The Charlotte Observer",Charlotte is banning e-scooters from sidewalks in these areas,85604,1040,40,0,13,0,0,0,0,2019
c5_people,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Alicia Valenski, The Charlotte Observer",7 Charlotte businesses that will keep your New Year’s resolutions for you,85605,1295,34,0,5,0,0,0,0,2019
c5_around_town,2019-01-16,20190116,"Charlotte Observer, The: Web Edition Articles (NC)","Melissa Oyler, The Charlotte Observer","Pizza, doughnuts, haircuts and yoga: local businesses offer furlough freebies to government employees during shutdown",85606,859,34,0,3,0,0,0,0,2019
high_school,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","Friday’s Roundup: Myers Park, Drake Maye, use big rally, win 10th straight in Union County",85607,898,44,0,9,0,0,0,0,2019
charlotte_hornets,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Joe Marusak, The Charlotte Observer",NBA star Steph Curry’s ‘Moon Landing’ sneakers sold for astonishing amount at auction,85608,248,8,0,0,0,0,0,0,2019
local,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Joe Marusak, The Charlotte Observer","NC man incarcerated for 11 years for a crime he didn’t commit, panel rules",85610,373,8,0,8,0,4,0,0,2019
charlotte_hornets,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Brendan Marks, The Charlotte Observer","Hornets tie season high in points, demolish Suns 135-115 at home for 3rd straight win",85611,1016,32,0,14,0,0,0,0,2019
preps_blog,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Steve Lyttle and Langston Wertz Jr., The Charlotte Observer","Friday’s swim/wrestle update: Country Day, Latin swimmers sweep",85612,755,26,0,9,0,0,0,0,2019
charlotte_hornets,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Brendan Marks, The Charlotte Observer",Secret to Hornets’ offensive explosion? This magic number you wouldn’t expect,85613,849,32,0,17,0,0,0,0,2019
high_school,2019-01-19,20190119,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr. and Tim Donelli, The Charlotte Observer",Saturday’s roundup: Independence upsets nationally ranked Carmel Christian in OT,85615,1380,62,0,10,0,0,0,0,2019
local,2019-01-22,20190122,"Charlotte Observer, The: Web Edition Articles (NC)","Anne Marie Hagerty, WBTV, The Charlotte Observer","‘Help me,’ a domestic violence survivor said to a deputy after being strangled, raped",85616,387,19,0,3,0,0,0,0,2019
local,2019-01-22,20190122,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer","Big, ugly fish found floating in SC woman’s koi pond turned out to be an alligator",85617,429,19,0,3,0,0,0,0,2019
business,2019-01-22,20190122,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",Lowe’s announces major new deal with the NFL months after cutting NASCAR ties,85618,518,19,0,1,0,0,0,0,2019
